Telemetry Packet Layout — Parsed Table
Note: Byte order = little-endian. All * table items valid only when a
calibration table is connected.

Columns: Name | Type | (min/max) | Spf | Start Byte | Bytes | Description | Units
v_y2_pss_5 | d | (0.0, 50.0) | 1 | 554 | 8  | Voltage | V
v_sum_pss_5| d | (0.0, 50.0) | 1 | 562 | 8  | Voltage | V
thresh_pss_5| d | (0.0, 10.0) | 1 | 570 | 8  | (threshold) | --
radius_pss_5| d | (0.0, 20.0) | 1 | 578 | 8  | (radius) | --
good_pss_5  | c | --          | 1 | 586 | 1  | (good flag) | --
x_raw_pss_5 | d | --          | 1 | 587 | 8  | Raw X | --
y_raw_pss_5 | d | --          | 1 | 595 | 8  | Raw Y | --
x_corr_pss_5| d | --          | 1 | 603 | 8  | Corrected X | --
y_corr_pss_5| d | --          | 1 | 611 | 8  | Corrected Y | --
az_pss_5    | d | (0.0,360.0) | 1 | 619 | 8  | Azimuth | deg
el_pss_5    | d | (0.0,360.0) | 1 | 627 | 8  | Elevation | deg
valid_pss_5 | c | --          | 1 | 635 | 1  | (valid flag) | --

boxcar_size_adc_0 | u | (1,1000) | 1 | 636 | 2 | Boxcar size ADC 0 | --
boxcar_size_adc_1 | u | (1,1000) | 1 | 638 | 2 | Boxcar size ADC 1 | --
boxcar_size_adc_2 | u | (1,1000) | 1 | 640 | 2 | Boxcar size ADC 2 | --
boxcar_size_adc_3 | u | (1,1000) | 1 | 642 | 2 | Boxcar size ADC 3 | --
boxcar_size_adc_4 | u | (1,1000) | 1 | 644 | 2 | Boxcar size ADC 4 | --
boxcar_size_adc_5 | u | (1,1000) | 1 | 646 | 2 | Boxcar size ADC 5 | --

current_az    | d | (-360.0,360.0) | 1 | 648 | 8 | Current azimuth | --
offset_az     | d | (-360.0,360.0) | 1 | 656 | 8 | Az offset | --
best_az       | d | (0.0,360.0)   | 1 | 664 | 8 | Best azimuth | deg
best_el       | d | (0.0,360.0)   | 1 | 672 | 8 | Best elevation | deg
timestamp_gps | d | --             | 1 | 680 | 8 | GPS timestamp | s
lat_gps       | d | --             | 1 | 688 | 8 | GPS latitude | --
lon_gps       | d | --             | 1 | 694 | 8 | GPS longitude | --
alt_gps       | d | --             | 1 | 704 | 8 | GPS altitude | --
baud_gps      | i | (0.0,115200.0) | 1 | 712 | 4 | GPS baud (int/float) | --

ra_sun_gps    | d | -- | 1 | 716 | 8 | Sun RA (from GPS) | --
dec_sun_gps   | d | -- | 1 | 724 | 8 | Sun DEC (from GPS) | --
az_sun_gps    | d | -- | 1 | 732 | 8 | Sun azimuth (from GPS) | --
el_sun_gps    | d | -- | 1 | 740 | 8 | Sun elevation (from GPS) | --
ha_sun_gps    | d | -- | 1 | 748 | 8 | Sun hour angle | --

array_tip     | d | -- | 1 | 756 | 8 | Array tip | --
array_tilt    | d | -- | 1 | 764 | 8 | Array tilt | --

pos_table     | d | -- | 1 | 772 | 8 | Table position | deg
last_time_table| d| -- | 1 | 780 | 8 | Last time table | s
at_target_table| c| -- | 1 | 788 | 1 | At target flag | --

cmd_position_table | d | (-360.0,360.0) | 1 | 789 | 8 | Commanded table position | deg
cmd_speed_table    | d | (0.0,90.0)     | 1 | 797 | 8 | Table speed | deg/s
set_pos_table      | d | (-360.0,360.0) | 1 | 805 | 8 | Set position table | deg
cycle_start_table  | d | (-360.0,360.0) | 1 | 813 | 8 | Cycle start table | deg
cycle_end_table    | d | (-360.0,360.0) | 1 | 821 | 8 | Cycle end table | deg
cycles_left_table  | i | --             | 1 | 829 | 4 | Cycles left | cycles

Total frame size (per manual) = 833 bytes (verify against implementation).

End of parsed telemetry table.
